timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1522319631512,7067,Login Module,200,OK,Thread Group 1-1,text,true,,1066,477,1,1,7067,0,1229
1522319638658,4829,Project Registration,200,OK,Thread Group 1-1,text,true,,2214,65846,1,1,4829,0,738
1522319643596,9529,Registration Payment,200,OK,Thread Group 1-1,text,true,,551,1945,1,1,9529,0,1461
1522319653186,2619,Create Energy meter,201,Created,Thread Group 1-1,text,true,,674,872,1,1,2619,0,1987
1522319655861,3196,Input Energy Reading,201,Created,Thread Group 1-1,text,true,,1599,926,1,1,3196,0,1560
1522319659106,1189,Create Water Meter,201,Created,Thread Group 1-1,text,true,,688,870,1,1,1188,0,778
1522319660349,1523,Input Water Reading,201,Created,Thread Group 1-1,text,true,,1610,924,1,1,1523,0,0
1522319661916,1680,Create Waste Meter,200,OK,Thread Group 1-1,text,true,,265,775,1,1,1680,0,1412
1522319663664,1333,Input Waste Reading,201,Created,Thread Group 1-1,text,true,,892,947,1,1,1333,0,0
1522319665052,1583,Manage Project (Click),200,OK,Thread Group 1-1,text,true,,2627,742,1,1,1583,0,1178
1522319666682,2000,Edit Opreating Hours,200,OK,Thread Group 1-1,text,true,,2628,837,1,1,2000,0,0
1522319668723,3242,Edit Occupancy,200,OK,Thread Group 1-1,text,true,,2628,832,1,1,3242,0,778
1522319672035,3399,Team (Click),200,OK,Thread Group 1-1,text,true,,1070,745,1,1,3399,0,523
1522319675467,2226,Add Team Member,200,OK,Thread Group 1-1,text,true,,233,849,1,1,2226,0,1408
1522319677745,2303,Edit Team Member Role,200,OK,Thread Group 1-1,text,true,,245,855,1,1,2303,0,1279
1522319680105,1590,Install Apps (Click),200,OK,Thread Group 1-1,text,true,,464,744,1,1,1590,0,1172
1522319681761,338,Install Dropbox,200,OK,Thread Group 1-1,text,true,,403,808,1,1,338,0,0
1522319682141,1876,Install One Drive,200,OK,Thread Group 1-1,text,true,,416,808,1,1,1876,0,1596
1522319684068,385,Install Google Drive,200,OK,Thread Group 1-1,text,true,,412,808,1,1,385,0,0
1522319684489,2523,Credit Action (Click),200,OK,Thread Group 1-1,text,true,,13062,754,1,1,2522,0,527
1522319687049,1199,Uploading the Excel Template to Create Energy Meter,200,OK,Thread Group 1-1,text,true,,396,1176,1,1,1199,0,784
1522319688283,366,Creating the Log for Uploading the Create Energy Meter File,200,OK,Thread Group 1-1,text,true,,1002,803,1,1,366,0,0
1522319688681,348,Exporting the Data for Energy Meter,200,OK,Thread Group 1-1,text,true,,6850,764,1,1,348,0,0
1522319689073,1219,Review (Click),200,OK,Thread Group 1-1,text,true,,214,768,1,1,1219,0,808
1522319690321,287,Send Data Snapshot for Performance Score,200,OK,Thread Group 1-1,text,true,,257,855,1,1,287,0,0
1522319690751,2973,Submit Review (Performance Score Verification),200,OK,Thread Group 1-1,text,true,,543,6272,1,1,2973,0,0
